id;stock
100;4589
100002;4490
100003;769
100004;9647
100011;3218
100013;5543
100015;7397
100024;5301
100026;3829
100027;5470
10003;2215
100034;2958
100053;1341
10007;7635
100075;7869
100087;5989
100088;838
100102;7574
10013;8423
10014;712
10017;3191
100172;3806
100173;338
100174;1289
100175;9115
100176;6969
100177;2185
100178;6754
100179;5991
10018;4299
100181;9047
100185;5330
100186;955
100187;5256
100191;9964
100192;2508
100193;9910
100199;7163
1002;641
100200;4830
100201;4172
100203;8808
100204;8796
100205;1426
100209;4797
100213;456
100214;3572
100215;2764
100216;4341
100217;494
100218;5199
100220;687
100221;3320
100222;482
100223;8863
100224;8840
100225;9502
100226;1882
100227;7416
100228;388
10023;8174
100246;3240
100248;1571
100255;5259
10028;1485
1003;4068
100300;6932
100301;6494
100305;4615
100315;5239
100316;2673
100317;9083
100318;3625
100319;5292
100320;9324
100321;5522
100322;2573
100323;8365
100324;2450
100325;9386
100326;4803
100328;7315
100329;4157
100336;5998
100337;6917
100338;6231
100339;158
100341;8069
100342;9360
100343;1356
100350;9441
100351;3871
100352;8545
100353;6491
100354;2696
100355;969
100356;1917
100357;9610
100358;3622
100359;7810
100360;5801
100361;7905
100362;1767
100363;3531
100364;2768
100365;9449
100366;1503
100367;5627
100368;7980
100369;9224
100370;8590
100371;4446
100372;1382
100373;2397
100374;4935
100375;741
100376;9916
100377;2106
100378;8712
100382;8726
100383;8291
100384;5676
100385;6422
100386;5982
100387;1529
100388;2962
100390;2413
100397;9989
100398;1193
1004;6798
100401;759
100402;9861
100433;8289
100434;6283
100435;7249
100436;8635
100437;7094
100438;8053
100439;600
100440;1893
100441;9506
100442;2815
100443;9701
100444;8961
100445;5130
100446;5772
100447;6551
100448;2593
100451;780
100454;5616
100456;1461
100461;4032
100463;9730
100465;7123
100466;8570
100467;8935
100469;8603
100470;6808
100474;315
100475;1918
100478;4259
100479;9928
100480;6626
100481;8731
100483;3708
100484;7543
100485;6015
100488;5571
100489;3169
100490;6688
100493;7903
100494;8653
100495;6054
100496;2944
1005;8282
100500;727
100501;8491
100502;2555
100514;1546
100520;1642
100521;165
100522;559
100523;7616
100524;7048
100526;8182
100527;5488
100528;7560
100530;4861
100531;3350
100532;8820
100533;5542
100535;1492
100536;8207
100537;287
100538;5915
100539;8264
100540;1672
100541;4153
100542;6867
100543;1110
100544;1726
100545;342
100546;6726
100547;6516
100548;4085
100549;8819
100550;3183
100561;1281
100563;9021
100567;4530
100568;7506
100569;2387
100570;9828
100578;6012
100582;9531
100585;2206
100587;1331
100589;935
100590;1287
100592;8067
100594;6621
100595;2192
100598;3415
1006;907
100604;2336
100638;1411
100640;6111
100643;9642
100647;1079
100649;6262
100651;8920
100655;7802
100656;6201
100659;397
100662;5713
100664;1255
100665;8535
100676;347
100678;2606
100679;3674
100680;393
100681;6636
100682;409
100683;6962
100685;3600
100686;6176
100687;6756
100688;2160
100689;5708
100690;1743
100691;6795
100693;1575
100694;5079
100696;95
100697;6929
100698;233
100717;1767
10072;8251
100727;2484
100728;2509
100729;3173
100730;1773
100731;7221
100732;5623
100733;4852
100734;3211
100735;2202
100736;817
100737;2598
100738;8451
100739;8150
100740;7927
10075;2689
100758;6540
100777;4737
100778;4048
100779;8397
100780;9368
100781;4730
100782;8595
100783;455
100784;8579
100785;1011
100786;4271
100787;871
100788;6112
100789;9377
10079;5505
100791;2498
100792;5318
100794;519
100795;9314
100796;6867
100797;1953
100798;5385
100799;7487
1008;4365
10080;731
100800;2779
100805;4630
100806;8172
100807;6413
100808;2863
100809;270
10081;9131
100810;9966
100811;9364
100812;3231
100813;9861
100815;5585
100816;5224
100817;3095
100818;3138
100819;7657
10082;1347
100820;6282
100821;475
100822;3219
100823;6780
100824;3336
100825;2352
100826;4397
100827;9652
100828;319
100829;491
100830;4976
100831;782
100832;2403
100833;7069
100834;881
100835;8815
10084;1323
10085;5956
10086;7402
10087;1995
10091;2043
10093;7783
10094;9157
10095;6887
10096;7867
101;6567
1010;4405
101065;120
101066;2054
101067;6052
101068;1868
101069;1279
101070;2647
101071;6407
101072;2316
101073;187
101074;1336
101075;2251
101076;4118
101077;848
101078;4006
101079;8000
101080;4801
101081;8283
101082;6163
101083;9898
101084;4707
101085;8016
101086;7358
101087;2394
101088;7734
101089;6554
101090;8519
101091;48
101092;1772
101093;9632
1011;5082
1013;4075
1014;9292
1015;771
1016;8636
1017;4106
102025;5942
102027;8999
102036;1682
102047;7243
102048;6927
102078;3982
102079;3476
102081;4553
102083;6224
102085;4563
102104;1522
102105;3774
102107;6881
102109;1694
102114;4407
102115;145
102119;1978
102121;5356
102123;7311
102131;2971
102132;3397
102138;4792
102139;5890
102140;955
102141;9964
102142;1968
102143;3292
102144;4753
102152;6892
102154;6785
102156;4081
102159;5327
102167;7039
102170;1128
102174;2205
102177;3324
102186;6091
102187;4778
102188;4049
102191;1328
102192;4802
102193;7386
102196;6831
102199;2960
1022;3402
102201;1492
102202;8012
102203;5614
102204;2729
102205;1036
102206;1939
102207;1055
102208;909
102209;1878
102210;5275
102213;1918
102223;1689
102224;7031
102225;4984
102226;9226
102231;386
102232;483
102233;4538
102234;7213
102235;6248
102237;1006
102238;641
102239;9599
102241;9854
102242;7081
102243;4800
102244;8190
102248;658
102249;8326
102253;7623
102254;2355
102255;1005
102256;8859
102257;6397
102258;5387
102259;8097
102260;4008
102261;6671
102264;5352
102266;4452
102268;4444
102269;6789
102270;4703
102271;9843
102272;9918
102273;1772
102274;9134
102276;7996
102277;7223
102278;6805
102284;50
102285;3262
102287;4885
102288;3138
102289;2412
102290;3416
102292;6343
102317;4655
102321;584
102323;4231
102324;6619
102325;5692
102327;207
102332;6480
102333;3712
102337;3566
102348;4188
102349;2413
102350;4941
102351;7815
102352;4002
102353;7567
102363;5365
102372;156
102373;1875
102376;2261
102377;5225
102378;9316
102389;7554
102390;7082
102404;3867
102405;2579
102406;4906
102407;8567
102408;5870
102417;4401
102418;332
102419;2252
102420;8183
102421;4455
102423;736
102425;6299
102427;8027
102428;9451
102430;6767
102431;3052
102432;6107
102433;605
102434;6361
102435;5591
102436;8531
102437;3895
102438;1758
102439;6400
102441;3381
102442;1535
102443;9208
102444;5035
102445;2972
102447;7089
102448;5415
102449;9425
102450;4884
102451;6376
102452;864
102453;5731
102456;1197
102463;1822
102471;2819
102480;7811
102482;6620
102483;6895
102485;2522
102486;132
102487;3954
102488;9567
102489;1107
102490;2363
102491;9042
102493;7924
102494;8690
1027;7718
1030;5347
103021;582
103022;4269
103023;4554
103024;3853
103025;3630
103026;3379
103027;3404
103031;8389
103032;1324
103033;6346
103034;5378
103035;3840
103036;426
103037;491
103039;8214
103040;6734
103041;7983
103042;3338
103043;7232
103049;9797
103052;9744
103056;3645
103057;9337
103058;9714
103059;1558
103061;1491
103068;2873
103069;8234
103071;1909
103072;3220
103073;3234
103074;8989
103086;9105
103092;6860
103093;8824
103094;7172
103095;246
103096;9829
103097;1635
103099;3847
103100;2102
103101;7025
103103;3922
103106;1824
103107;9877
103108;7232
103109;322
103111;8497
103112;6383
103113;798
103120;7325
103121;883
103122;5906
103125;8153
103126;7621
103127;8038
103129;2419
103131;4523
103132;5659
103133;6802
103134;7813
103135;9062
103136;4804
103137;5555
103138;428
103139;2409
103140;745
103143;8219
103144;8111
1032;985
1039;4111
104003;7970
104004;6580
104010;9940
104012;511
104014;7501
104016;8974
104017;5049
104019;7271
104020;452
104021;8616
104023;7968
104025;7536
104028;8756
104029;6627
104030;4529
104031;8901
1041;2835
1042;9882
1044;4104
1045;2481
1046;6617
1047;8680
1049;7428
1050;5009
105002;7864
105003;1901
105004;4331
105009;1026
105019;6119
105020;4793
105026;979
105032;6438
105033;5792
105035;8767
105036;8172
105038;6087
105039;5852
105040;3389
105041;459
105042;3926
105043;3374
105044;1545
105045;5337
105050;1171
105054;3973
105057;9924
105058;8654
105059;514
105062;8910
105063;9436
105066;914
105069;2256
105075;1316
105080;6681
105087;3765
105092;6090
105097;2553
105098;821
105102;8103
105110;4455
105118;5143
105136;332
105140;5675
105141;7739
105150;4334
105151;3646
105156;9696
105159;9257
105162;3558
105173;4650
105177;8633
105179;4033
105184;3521
1052;3355
105204;2308
105205;6293
105206;1248
105217;1534
105233;5262
105234;3225
105236;5323
105238;5356
105241;9327
105242;8386
105243;4484
105245;8489
105253;8016
105261;3901
105264;1828
105267;3011
105268;366
105269;6065
105272;5847
105276;1101
105277;831
105284;320
105287;4753
105288;7940
105290;7731
105291;1215
105292;2874
105293;807
105294;6907
105295;5103
105311;4712
105312;7811
105314;4423
105315;3866
105316;8991
105317;715
105318;9390
105320;9119
105321;5644
105322;3739
105323;5801
105324;7058
105325;6762
105326;7902
105327;5514
105328;2922
105329;9334
105330;8838
105331;6345
105333;9307
105334;6704
105339;9068
105340;4858
105341;7358
105342;368
105343;9432
105344;4854
105346;712
105348;706
105349;4693
105351;3837
105352;2475
105354;1077
105355;7626
105357;6137
105360;3444
105361;772
105362;4526
105363;2045
105364;6705
105365;8776
105366;4570
105367;4550
105368;5452
105369;1497
105370;9964
105371;7126
105372;2462
105373;689
105374;8175
105375;3173
105376;8420
105377;5264
105378;1768
105379;1968
105380;5244
105381;8334
105382;3429
105383;1336
105384;4329
105385;688
105386;8550
105387;6041
105388;6936
105389;8413
105391;4293
105392;8151
105393;607
105395;716
105396;6732
105397;1607
105398;8834
105399;7525
1054;531
105400;4758
105401;9909
105402;8883
105403;9681
105404;3272
105407;220
105410;4353
105411;7489
105412;8635
105413;7788
105414;6975
105415;8101
105416;1868
105417;1917
105419;9172
105420;2322
105422;6060
105423;1800
105424;3821
105426;819
105428;7626
105432;5532
1055;3062
1058;7583
1059;1427
106;1641
106007;3397
106008;4670
106009;7278
106015;8906
106020;1092
106022;1829
106025;4963
106026;1962
106027;6012
106028;9554
106029;9906
106039;3711
106043;2858
106046;6690
106048;6873
106049;2312
106050;5396
106051;234
106052;6130
106057;9676
106059;9657
106060;4663
106061;8921
106062;8449
106063;6462
106066;7791
106067;7507
106069;5297
106070;6292
106071;6509
106072;3952
106081;1285
106082;6305
106083;896
106085;9854
106086;8939
1061;1244
1062;1119
1063;7263
1064;5704
1065;2352
1068;2082
1069;1835
1070;8740
107060;3969
107061;6540
107062;8852
107063;680
107064;6107
107065;2719
107066;4901
107067;1444
107068;8168
107069;3012
107070;2405
1073;8620
1074;8833
1075;1850
1076;7888
1077;8328
1078;7215
1079;8451
1080;8757
108008;8100
108017;4857
108031;7756
108034;3912
108040;4498
108043;6450
108044;5243
108049;4571
108052;626
108054;6364
108058;4906
108060;2883
108062;2263
108064;769
108072;5467
108076;2450
108088;7017
1081;1771
108102;8488
108103;3664
108110;3369
108111;5144
108117;1410
108119;9330
108127;6301
108128;662
108162;2053
108163;8124
108165;3928
108166;3149
108168;7395
108169;3295
108170;7404
108173;7012
108175;5374
108177;2093
108178;7049
108179;8016
108180;1721
108182;5320
108185;4740
108187;887
108188;3737
108189;5290
108190;1559
108193;8445
108194;2593
108198;8858
108199;5256
108200;6107
108201;639
108212;9840
108215;6194
108216;3026
108219;894
108221;715
108222;2988
108223;5670
108224;7384
108226;8634
108227;9094
108230;9028
108241;6677
108242;4252
108244;3417
108245;5512
108246;3851
108249;2618
108250;937
108251;3662
108252;7847
108253;8545
108257;1813
108258;8769
108259;2828
108260;1467
108262;9277
108263;3803
108264;8293
108265;5240
108266;7952
108267;8136
108268;930
108269;3462
108270;9499
108271;979
108272;7349
108273;4293
108274;3840
108275;4230
108276;3524
108277;5265
108278;2332
108279;1381
108280;5298
108281;9587
108282;6967
108283;5638
108284;5053
108285;6232
108286;7213
108287;41
108288;2834
108289;2811
108290;7198
108291;5386
108292;4579
108293;9949
108294;1793
108295;8334
108296;607
108297;574
108298;2431
108299;398
1083;5096
108300;4629
108301;8081
108302;7440
108303;6006
108304;144
108305;6387
108306;4490
108307;8181
108308;3602
108309;8431
108310;536
108312;5544
108313;3833
108314;3283
108315;479
108316;4737
108317;2640
108318;4976
108319;5149
108320;8208
108321;9318
108322;6335
108323;6435
108324;4456
108325;7257
108326;5957
108327;8043
108328;2059
108329;8603
108331;5530
108332;7053
108333;8836
108334;4300
108335;1586
108337;8351
108340;3864
108341;3778
108342;9727
108343;2747
108344;5663
108346;4824
108348;108
108349;6035
108352;2323
108353;8574
108354;8287
108355;1577
108356;3327
108357;3457
108358;7014
108359;6357
108360;4770
108361;6323
108367;3354
108368;3889
108370;6327
108371;6357
108372;6051
108373;3730
108374;6699
108376;6318
108377;1180
108379;1552
108380;3124
108382;1304
108383;6720
108387;1237
108388;1823
108389;4437
108397;6134
108398;3545
108399;3446
1084;458
108403;5946
108404;6032
108405;1153
108410;587
108411;1646
108412;4381
108413;8808
108414;4977
108416;6968
108419;8969
108427;6074
108428;813
108429;7915
108430;1891
108431;1665
108432;8834
108433;2510
108434;4906
108435;1771
108437;9900
108438;4652
108439;986
108440;1975
108441;4853
108442;9634
108445;2993
108446;7160
108448;9052
108449;926
108450;7088
108451;5381
108452;521
108453;4878
108454;2176
108455;7251
108458;2927
108460;1092
108462;6510
108463;697
108464;4819
108465;3311
108467;1023
108468;1701
108486;2730
